The initial point is (0.0, 0.0)

  k|                x                 |     alpha     |               step               
178| ( 0.80979633749,  0.65418809379) | 0.00195312500 | (-0.13203970690,  0.31640288368) 
179| ( 0.80953844743,  0.65480606817) | 0.00781250000 | ( 0.20397752548,  0.10928594069) 
180| ( 0.81113202185,  0.65565986458) | 0.00195312500 | (-0.36049226286,  0.45505845827) 
181| ( 0.81042793540,  0.65654865063) | 0.00390625000 | ( 0.29978772441,  0.04895756896) 
182| ( 0.81159898120,  0.65673989114) | 0.00195312500 | (-0.25722725015,  0.39060302935) 
183| ( 0.81109658423,  0.65750278768) | 0.00390625000 | ( 0.25617762176,  0.07497625300) 
184| ( 0.81209727806,  0.65779566367) | 0.00195312500 | (-0.17847867914,  0.34126507354) 
185| ( 0.81174868689,  0.65846219701) | 0.00390625000 | ( 0.22267831002,  0.09474673116) 
186| ( 0.81261852404,  0.65883230143) | 0.00195312500 | (-0.11819555680,  0.30331283602) 
187| ( 0.81238767334,  0.65942470931) | 0.00781250000 | ( 0.19681376437,  0.10980449683) 
188| ( 0.81392528088,  0.66028255695) | 0.00195312500 | (-0.34144031184,  0.43836118078) 
189| ( 0.81325840527,  0.66113873113) | 0.00390625000 | ( 0.29199059487,  0.05010052219) 
190| ( 0.81439899353,  0.66133443629) | 0.00195312500 | (-0.25142047108,  0.38225687370) 
191| ( 0.81390793792,  0.66208103175) | 0.00390625000 | ( 0.25331786314,  0.07301993250) 
192| ( 0.81489746082,  0.66236626586) | 0.00195312500 | (-0.18119228891,  0.33832115952) 
193| ( 0.81454356963,  0.66302704937) | 0.00390625000 | ( 0.22293067115,  0.09083549176) 
194| ( 0.81541439257,  0.66338187551) | 0.00195312500 | (-0.12619827804,  0.30375121886) 
195| ( 0.81516791156,  0.66397513961) | 0.00781250000 | ( 0.19893722932,  0.10471688377) 
196| ( 0.81672210866,  0.66479324027) | 0.00195312500 | (-0.36580628527,  0.44835250160) 
197| ( 0.81600764326,  0.66566892875) | 0.00390625000 | ( 0.30284931498,  0.03990902230) 
198| ( 0.81719064840,  0.66582482337) | 0.00195312500 | (-0.28020460201,  0.39514649227) 
199| ( 0.81664337378,  0.66659659386) | 0.00390625000 | ( 0.26550955096,  0.06196121719) 
200| ( 0.81768052047,  0.66683862986) | 0.00195312500 | (-0.21192840646,  0.35256073758) 
201| ( 0.81726659780,  0.66752722505) | 0.00390625000 | ( 0.23552899218,  0.07949336453) 
202| ( 0.81818663292,  0.66783774601) | 0.00195312500 | ( 0.51829699408,  0.44794383890) 
203| ( 0.81919893174,  0.66871263632) | 0.00195312500 | (-0.10246263056,  1.28028413008) 
204| ( 0.81899880941,  0.67121319126) | 0.00000000000 | ( 0.56683546286,  3.44828164875) 

TOTAL ITERATIONS: 204
SOLUTION: x    = ( 0.8189988,  0.6712132)
VALUE:    f(x) =   0.0327821
